id;dni;nombre;numeroventas;tier;activo
1;overriding Account bandwidth;Artesanal;26915;82027;false
2;Acero program;hard Director;20727;66687;false
3;Edificio bypass Pre-emptivo;Pantalones Violeta neural;7726;52889;false
4;optical bypassing;Huerta;72358;43382;false
5;Facilitador Francia;back-end hacking Descentralizado;33379;86035;false
6;enhance Metal Refinado;la enhance;26225;26429;true
7;firewall Integración;Bicicleta;20193;41158;false
8;Guapo Avon Morado;mano;90159;92466;false
9;Informática Normas;Director;90351;32782;false
10;colaboración Rioja deliver;Guapo holística;50784;1968;false
